City,Surface_area,Potential_installable_area,Peak_installable_capacity,Energy_potential_per_year,Assumed_building_type,Estimated_tilt,Estimated_building_height,Estimated_capacity_factor
StMaarten,37.5999984741211,9.32999992370605,1.80999994277954,2764.76000976562,7,14.8599996566772,5.76000022888184,1527.0
StMaarten,147.990005493164,68.9300003051758,13.3699998855591,20418.259765625,7,16.6200008392334,3.85999989509583,1527.0
StMaarten,166.410003662109,101.360000610352,19.6599998474121,34196.19921875,7,8.64000034332275,6.84000015258789,1739.0
StMaarten,249.380004882812,130.699996948242,25.3600006103516,38502.91015625,7,17.1200008392334,10.5600004196167,1518.47
StMaarten,310.839996337891,127.550003051758,24.7399997711182,42387.08984375,7,0.0,6.75,1713.0
StMaarten,201.679992675781,62.9199981689453,12.210000038147,19196.919921875,7,21.3299999237061,6.13000011444092,1572.6
StMaarten,138.389999389648,61.3899993896484,11.9200000762939,19907.349609375,7,12.1899995803833,2.8199999332428,1669.82
StMaarten,239.160003662109,101.669998168945,19.7199993133545,32320.890625,7,14.960000038147,,1638.68
StMaarten,127.650001525879,55.5999984741211,10.789999961853,18757.830078125,7,0.0,2.73000001907349,1739.0
StMaarten,78.3399963378906,34.8600006103516,6.76000022888184,10191.490234375,3,26.8199996948242,8.71000003814697,1507.0
StMaarten,102.430000305176,55.5,10.7700004577637,17172.880859375,7,14.1000003814697,3.23000001907349,1595.0
StMaarten,85.620002746582,31.5799999237061,6.13000011444092,9624.8603515625,7,14.7200002670288,2.25999999046326,1570.8
StMaarten,25.8199996948242,9.90999984741211,1.91999995708466,2329.78002929688,7,32.6300010681152,,1212.0
StMaarten,104.769996643066,54.3300018310547,10.539999961853,16671.109375,7,11.4700002670288,9.89999961853027,1581.82
StMaarten,46.8300018310547,12.8999996185303,2.5,3913.0400390625,7,12.6300001144409,2.11999988555908,1564.0
StMaarten,107.879997253418,26.6800003051758,5.17999982833862,8603.0,7,9.72999954223633,3.83999991416931,1662.0
StMaarten,102.48999786377,38.8800010681152,7.53999996185303,12356.849609375,7,24.0900001525879,2.51999998092651,1638.41
StMaarten,71.5899963378906,33.7099990844727,6.53999996185303,10869.0595703125,7,9.38000011444092,4.3899998664856,1662.0
StMaarten,326.690002441406,84.3600006103516,16.3500003814697,25317.259765625,7,26.5200004577637,8.42000007629395,1548.52
StMaarten,31.6399993896484,13.9200000762939,2.70000004768372,4724.06005859375,7,0.0,,1749.0
StMaarten,50.6699981689453,20.0900001525879,3.90000009536743,6817.4599609375,7,0.0,,1749.0
StMaarten,44.2700004577637,14.9399995803833,2.90000009536743,5069.43994140625,7,0.0,4.11999988555908,1749.0
StMaarten,80.9300003051758,38.0200004577637,7.38000011444092,11263.9404296875,7,11.4700002670288,5.26999998092651,1527.0
StMaarten,74.3600006103516,36.9500007629395,7.17000007629395,12538.5,7,0.0,,1749.0
StMaarten,81.0800018310547,11.0100002288818,2.14000010490417,3406.28002929688,7,14.4799995422363,2.23000001907349,1595.0
StMaarten,78.9199981689453,36.6500015258789,7.1100001335144,12434.8603515625,7,9.43000030517578,3.75999999046326,1749.0
StMaarten,86.370002746582,38.0900001525879,7.3899998664856,12924.66015625,7,8.60000038146973,4.40999984741211,1749.0
StMaarten,191.479995727539,103.870002746582,20.1499996185303,32260.259765625,7,12.8599996566772,14.6599998474121,1600.95
StMaarten,21.1399993896484,2.63000011444092,0.509999990463257,871.97998046875,7,0.0,2.38000011444092,1706.0
StMaarten,108.819999694824,35.4799995422363,6.88000011444092,10885.98046875,7,11.9300003051758,2.72000002861023,1581.5
StMaarten,53.189998626709,11.210000038147,2.1800000667572,3083.56005859375,7,20.9300003051758,,1417.54
StMaarten,54.9599990844727,23.2099990844727,4.5,7713.169921875,7,0.0,2.58999991416931,1713.0
StMaarten,103.790000915527,33.4199981689453,6.48000001907349,11105.5498046875,7,0.0,2.65000009536743,1713.0
StMaarten,48.9799995422363,17.7600002288818,3.44000005722046,5684.2900390625,7,22.6599998474121,2.58999991416931,1650.24
