OBJECTID,uuid,City,Surface_area,Potential_installable_area,Peak_installable_capacity,Energy_potential_per_year,Assumed_building_type,Estimated_tilt,Estimated_building_height,Estimated_capacity_factor,Estimated_Installation_Efficiency,Unit_installation_price,Date_added,aoi,Roof_quality,solar_panels,Comment
227,7e1ddaa9-230e-4757-9781-722a45c3a398,SouthAfrica,51.5,21.17,4.11,6741.79,Single-family residential,26.66,3.02,1641.57,130.91,,,Middelburg,,,
228,2e4344c5-5254-41e7-9f6b-e5f17f0daf49,SouthAfrica,293.76,209.72,40.73,59241.35,Single-family residential,25.07,3.1,1454.61,201.66,,,Middelburg,,,
229,5d349b9d-e557-4288-865f-c85f950d35e8,SouthAfrica,153.43,86.56,16.81,25533.91,Single-family residential,24.24,3.54,1519,166.42,,,Middelburg,,,
230,cfc06f9b-4724-4fd7-8c8a-9999810000fa,SouthAfrica,31.26,13.47,2.61,3770.82,Single-family residential,23.92,2.15,1442.84,120.62,,,Middelburg,,,
231,efa58bcb-65da-4867-ba03-518f314c2f7a,SouthAfrica,62.84,34.14,6.62,9367.79,Single-family residential,23.69,2.53,1415.85,149.07,,,Middelburg,,,
232,f1753e82-2ecc-4054-b07b-ddcd36703cad,SouthAfrica,49.05,27.07,5.26,8010.75,Single-family residential,22.56,2.36,1523.82,163.31,,,Middelburg,,,
233,0c2d3e10-e2d5-46ad-a84b-dcbaeaab582d,SouthAfrica,43.14,21.19,4.11,5437.87,Public,20.31,2.42,1322.72,126.06,,,Middelburg,,,
234,8515c9a1-15b5-47c5-8d68-f977a85356f2,SouthAfrica,21.81,8.82,1.71,2672.77,Single-family residential,23.32,,1561.5,122.56,,,Middelburg,,,
235,035e9e4f-1353-467e-8b74-9414ebf18afe,SouthAfrica,67.46,37.16,7.21,12004.77,Public,19.73,2.86,1665.36,177.96,,,Middelburg,,,
236,b310c8ba-822e-4d5a-8cdc-9556a1add288,SouthAfrica,45.75,22.86,4.43,7378.34,Single-family residential,22.8,2.27,1663.96,161.28,,,Middelburg,,,
237,a68dc34a-7f59-45e4-a58b-d00e1933b92d,SouthAfrica,453.82,292.87,56.82,84063.94,Public,23.62,3.44,1479.59,185.24,,,Middelburg,,,
238,3ef7bf50-f33f-4953-9b3f-aeeced51a30d,SouthAfrica,53.22,29.64,5.75,6958.98,Single-family residential,28.18,2.49,1210.3,130.77,,,Middelburg,,,
239,8745dd47-d6d2-4d5d-beec-51d27088b2ea,SouthAfrica,31.28,15.61,3.03,4288.03,Single-family residential,21.01,,1416.4,137.07,,,Middelburg,,,
240,47fe69a6-8e01-4dd5-ba98-97db0e2e4a55,SouthAfrica,46.37,25.33,4.91,7763.95,Single-family residential,21.22,3.04,1580,167.45,,,Middelburg,,,
241,ea8662a1-3034-4c9b-a23d-a93661835af7,SouthAfrica,105.15,57.44,11.13,17010.49,Single-family residential,21.06,2.36,1528.14,161.78,,,Middelburg,,,
242,d071d655-5dd1-4419-8919-fab0eaee9365,SouthAfrica,88.55,53.3,10.34,15192.92,Single-family residential,21.64,3.11,1469.19,171.58,,,Middelburg,,,
243,34186e7b-cf21-4d45-bd95-2b5e4e9863d3,SouthAfrica,22.03,8.49,1.65,2689.5,Single-family residential,15.95,,1632,122.08,,,Middelburg,,,
244,685a6201-f795-4dab-8f77-086e3946aae6,SouthAfrica,33.11,13.04,2.53,4203.2,Single-family residential,26.39,,1661.55,126.93,,,Middelburg,,,
245,a3a45c1c-1063-4cc7-a42a-62561a628eda,SouthAfrica,22.04,10.22,1.98,2386.66,Single-family residential,22.91,,1204,108.27,,,Middelburg,,,
246,e577e98d-551c-4674-8a0d-80fce25dc98c,SouthAfrica,8.2,2.53,0.49,599.21,Single-family residential,21.65,,1222,73.05,,,Middelburg,,,
247,817219c2-ea9b-4847-b826-f6452aaca355,SouthAfrica,6.49,1.79,0.35,595.81,Single-family residential,18.07,,1716,91.74,,,Middelburg,,,
248,39a6cb96-6b74-4793-9818-03112824a943,SouthAfrica,34.44,17.48,3.39,4784.49,Single-family residential,26.86,3.01,1410.68,138.92,,,Middelburg,,,
249,0a8e1e88-8783-43de-8723-3a8e20c263fe,SouthAfrica,50.47,23.72,4.6,6040.81,Single-family residential,24.19,3.3,1312.67,119.7,,,Middelburg,,,
