OBJECTID,uuid,City,Surface_area,Potential_installable_area,Peak_installable_capacity,Energy_potential_per_year,Assumed_building_type,Estimated_tilt,Estimated_building_height,Estimated_capacity_factor,Estimated_Installation_Efficiency,Unit_installation_price,Date_added,aoi,Roof_quality,solar_panels,Comment
1425,430a3431-180b-4990-8870-a5d5b9da34c7,SouthAfrica,23,10.72,2.08,3472.49,Single-family residential,21.42,,1667.77,150.99,,,Middelburg,,,
1426,c53a98d7-f837-4140-a9bd-0a0850c5bb5e,SouthAfrica,13.03,5,0.97,1168.92,Single-family residential,24.91,,1206,89.7,,,Middelburg,,,
1427,816a2e27-336e-4bff-bfde-fa1a47bf1b7d,SouthAfrica,54.76,30.68,5.95,8657.88,Single-family residential,23.06,2.11,1454.49,158.12,,,Middelburg,,,
1428,239a6839-4341-40cf-a13c-eddca13624d3,SouthAfrica,45.6,24.62,4.78,6563.31,Single-family residential,20.43,2.3,1374,143.93,,,Middelburg,,,
1429,87dcddf6-a75a-45e8-ba47-4edadb2549a0,SouthAfrica,26.78,11.25,2.18,3082.48,Single-family residential,21.61,,1412,115.12,,,Middelburg,,,
1430,f3ae4146-1b50-483f-ae88-e7f2be2e9968,SouthAfrica,39.04,19.51,3.78,5983.65,Single-family residential,23.59,,1581,153.27,,,Middelburg,,,
1431,52833e08-0e80-40b2-9e91-5da2dd707782,SouthAfrica,33.81,14.56,2.82,3422.04,Single-family residential,22.15,2.62,1211.67,101.2,,,Middelburg,,,
1432,96cbe5f9-ca8d-4f42-afa1-f0f9b0fff259,SouthAfrica,18.16,7.78,1.51,2075.1,Single-family residential,21.87,2.28,1374,114.27,,,Middelburg,,,
1433,528b3e04-e560-4aa4-8881-1055f1e88a43,SouthAfrica,97.07,53.84,10.44,16899.19,Single-family residential,23.62,2.71,1618,174.1,,,Middelburg,,,
1434,e9f781c0-c7d6-4d12-b11a-528f800578dd,SouthAfrica,41.47,14.3,2.77,4095.01,Single-family residential,23.87,3.36,1475.76,98.75,,,Middelburg,,,
1435,dec70c8c-50fa-451b-8ac0-c8209f2bc712,SouthAfrica,23.7,7.71,1.5,2351.58,Single-family residential,18.28,,1570.71,99.21,,,Middelburg,,,
1436,8dd5fb8c-844e-47dd-b8e4-880174c0ea88,SouthAfrica,42.82,17.12,3.32,4887.52,Single-family residential,25.8,2.46,1471.88,114.13,,,Middelburg,,,
1437,1cb9560c-150c-4b24-9035-e0dfdcba81ad,SouthAfrica,24.92,8.45,1.64,2737.92,Single-family residential,19.96,2.61,1668.45,109.85,,,Middelburg,,,
1438,8f5d6d6c-bdd0-4093-97b2-4021c14bd3e2,SouthAfrica,37.7,19.73,3.83,5527.66,Single-family residential,23.71,2.13,1444.14,146.61,,,Middelburg,,,
1439,37bcd71f-3765-4181-b961-cd7c998f56fa,SouthAfrica,77.88,37.76,7.33,11532.82,Single-family residential,22.87,2.74,1574.38,148.09,,,Middelburg,,,
1440,b8fe95e0-1e97-46eb-aa1e-488d9cf028ef,SouthAfrica,38.99,20.36,3.95,5761.79,Single-family residential,22.3,,1458.4,147.77,,,Middelburg,,,
1441,7c62b4d0-18fb-4a03-b627-943a86ff2e51,SouthAfrica,125.18,66.98,13.01,18217.34,Single-family residential,20,2.43,1400.59,145.53,,,Middelburg,,,
1442,e438ff55-fd8e-4a5c-8b4f-da9f5ffb7638,SouthAfrica,140.36,77.19,14.98,21459.41,Single-family residential,23.73,3.37,1432.96,152.89,,,Middelburg,,,
1443,36c4d729-becc-49d2-8082-22f38b58318b,SouthAfrica,7.94,2.27,0.44,770.95,Single-family residential,21.25,,1748,97.07,,,Middelburg,,,
1444,70df699d-8967-4751-801b-914b50c5f34b,SouthAfrica,157.5,85.61,16.63,24370.01,Single-family residential,19.66,3.69,1465.81,154.73,,,Middelburg,,,
1445,09c2c3f5-d193-41c0-ade0-e25bb882ff9c,SouthAfrica,70.78,37.99,7.37,9590.2,Single-family residential,21.46,2.44,1301.2,135.5,,,Middelburg,,,
1446,75cb0f7f-7772-40a6-9ca2-a1e0e8b5b5e5,SouthAfrica,49.13,27.82,5.4,8277.85,Single-family residential,24.9,2.18,1534,168.51,,,Middelburg,,,
1447,1d904319-f955-4f91-be05-0fd65d5a2fda,SouthAfrica,91.76,52.24,10.13,14821.68,Single-family residential,19.68,2.46,1462.45,161.53,,,Middelburg,,,
1448,278b4054-7e7c-4026-9169-a89cba7ee4bc,SouthAfrica,53.5,23.51,4.56,6626.79,Single-family residential,26.67,,1454.19,123.87,,,Middelburg,,,
1449,ed0cf3b4-90ea-43ce-8cd9-d2fa87533097,SouthAfrica,19.54,7.95,1.54,2149.26,Single-family residential,21.02,,1394.56,110,,,Middelburg,,,
1450,9a104a7a-9c40-49ce-bbf2-6daaa734cdee,SouthAfrica,18.59,8.15,1.58,2335.67,Single-family residential,23.59,2.15,1477.5,125.63,,,Middelburg,,,
1451,e7b158bf-7ef7-4e2b-9eb7-08e2657fdd56,SouthAfrica,32.08,16.23,3.15,4857.89,Single-family residential,20.12,2.14,1543.02,151.41,,,Middelburg,,,
1452,9906a85e-4244-4061-bff2-664291242570,SouthAfrica,49.79,27.79,5.39,8958.36,Single-family residential,19.72,,1661.7,179.92,,,Middelburg,,,
1453,9ac65be9-1c52-4f80-837f-d5a76ce5d1a2,SouthAfrica,27.85,13.27,2.57,3494.88,Single-family residential,25.14,,1357.96,125.5,,,Middelburg,,,
1454,c8e37580-bd65-4a4b-bcd1-fc71819ce025,SouthAfrica,85.82,45.94,8.92,14338.3,Single-family residential,24.52,2.05,1607.27,167.08,,,Middelburg,,,
1455,1b0e140d-2de1-479d-8976-a9c5cd18d499,SouthAfrica,163.75,85.84,16.65,26331.49,Single-family residential,21,3.34,1581.2,160.8,,,Middelburg,,,
1456,726cb27b-46ff-4123-9155-f0f843766d14,SouthAfrica,68.51,29.91,5.8,9840.64,Single-family residential,26.33,,1696.17,143.65,,,Middelburg,,,
1457,8d042dff-7e5c-464e-8526-18981dca3a8b,SouthAfrica,42.52,22.9,4.44,6245.69,Single-family residential,23.15,2.13,1407.29,146.9,,,Middelburg,,,
1458,d0203535-a304-4231-a5bb-9d6601a6284c,SouthAfrica,9.18,3.05,0.59,1024.32,Single-family residential,28.75,,1732,111.63,,,Middelburg,,,
1459,b3ebdc80-d991-40de-921c-7149018b3e5f,SouthAfrica,55.63,28.14,5.46,7168.84,Single-family residential,22.58,2.68,1313,128.87,,,Middelburg,,,
1460,0422871d-9038-48b2-9ce9-bb86a6f13c90,SouthAfrica,25.11,7.71,1.5,2591.28,Single-family residential,20.63,,1732,103.18,,,Middelburg,,,
1461,1da79339-2fd2-4b10-8f33-c80cc0c66230,SouthAfrica,12.68,4.3,0.83,1154.52,Single-family residential,16,2.51,1385,91.06,,,Middelburg,,,
1462,cddcaebb-aa9c-4a1a-85ca-48d359a6d749,SouthAfrica,8.98,2.39,0.46,718.65,Single-family residential,17.32,,1548.5,79.99,,,Middelburg,,,
1463,0c1b6905-adc5-42a6-bd94-2a22a04ed659,SouthAfrica,18.33,7.78,1.51,2544.48,Single-family residential,22.36,,1686,138.79,,,Middelburg,,,
1464,1b9ea22d-7dd1-450c-bad7-4bed89daa223,SouthAfrica,35.26,17.32,3.36,4229.85,Single-family residential,20.74,2.1,1257.69,119.97,,,Middelburg,,,
1465,3b9d29f6-a15d-4f07-b4fd-113884d200c5,SouthAfrica,143.25,67.04,13.01,17579.2,Single-family residential,24.12,3.22,1351.67,122.72,,,Middelburg,,,
1466,0d14c0f9-0122-476c-95df-696c208cec4a,SouthAfrica,30.49,11.79,2.29,3699.14,Single-family residential,23.84,2.16,1616.83,121.32,,,Middelburg,,,
1467,f9ecabc4-2e1b-4282-bdaf-24b69aad1169,SouthAfrica,83.88,43.37,8.41,11769.09,Single-family residential,21.77,2.41,1398.95,140.32,,,Middelburg,,,
1468,5bc039bc-c879-4949-afd3-228ab6ab6fbf,SouthAfrica,131.41,82.13,15.95,23270.16,Single-family residential,24.11,2.85,1459.11,177.08,,,Middelburg,,,
1469,eea7ea26-d202-43c8-a1d3-4e3a6bacbe5d,SouthAfrica,36.16,16.4,3.18,5429.85,Single-family residential,23.63,2.17,1706.55,150.17,,,Middelburg,,,
1470,a2534554-6b2f-4ac8-9512-1c15838a9d1a,SouthAfrica,44.7,23.68,4.59,7409.64,Single-family residential,21.2,2.19,1612.75,165.76,,,Middelburg,,,
1471,ae3a407f-7cd2-49ab-b3a7-d5333a60b031,SouthAfrica,9.68,3.15,0.61,864.69,Single-family residential,16.06,,1416,89.29,,,Middelburg,,,
1472,bc3090a2-b412-40e7-bb31-788c4fbd8387,SouthAfrica,18.75,7.53,1.46,2364.88,Single-family residential,24.02,,1618,126.13,,,Middelburg,,,
1473,90f0c77b-cd7a-4b69-8ea2-fd8fe2a47b3b,SouthAfrica,128.25,49.67,9.65,14426.41,Single-family residential,27.56,2.56,1495.62,112.49,,,Middelburg,,,
1474,26879f55-0dee-4db3-a1d9-7852a12acfb4,SouthAfrica,198.38,115.46,22.4,31090.94,Single-family residential,21.96,3.44,1388,156.73,,,Middelburg,,,
1475,6e78f76f-47a0-4230-8585-5a7d9d4917af,SouthAfrica,9.43,1.56,0.3,529.02,Single-family residential,22.38,,1745.34,56.12,,,Middelburg,,,
1476,27c36b91-b936-47be-9e21-89102e505a44,SouthAfrica,34.34,17.47,3.39,4563.25,Single-family residential,23.2,2.42,1345.18,132.88,,,Middelburg,,,
1477,4f058870-d58e-454f-a26b-8750c8d07444,SouthAfrica,61,35.17,6.82,11618.93,Single-family residential,22.96,,1702.69,190.47,,,Middelburg,,,
1478,366215ee-bb98-4990-903a-b57fc2421383,SouthAfrica,52.37,28.51,5.53,8046.45,Single-family residential,21.72,2.04,1454.92,153.64,,,Middelburg,,,
1479,93b87f2a-d82b-4a55-87e4-9ddc030666ea,SouthAfrica,33.9,16.32,3.17,4809.21,Single-family residential,22.25,,1517.41,141.86,,,Middelburg,,,
1480,eacb9d50-8397-412c-8b45-892aa7a1a512,SouthAfrica,124.82,58.6,11.37,17186.26,Single-family residential,28.94,3.31,1511.85,137.68,,,Middelburg,,,
1481,c25ee424-f061-43d7-b7bc-90c53ee1a148,SouthAfrica,59.38,27.41,5.32,8856.61,Single-family residential,22.28,,1665.32,149.16,,,Middelburg,,,
1482,69729d1f-3f25-4211-8dd6-bccada79e4a7,SouthAfrica,32.53,16.52,3.21,5390.34,Single-family residential,29.8,,1681.72,165.69,,,Middelburg,,,
1483,658e12ec-f1a8-43ee-8c9e-c57b7a17ae1a,SouthAfrica,146.75,80.8,15.67,24242.23,Single-family residential,22.77,3.05,1546.59,165.19,,,Middelburg,,,
1484,bd068e2d-e9f5-454f-95fa-632bfc337a32,SouthAfrica,159.85,88.74,17.22,20745.02,Single-family residential,23.54,3.45,1205,129.78,,,Middelburg,,,
1485,41e6d52d-b036-44bc-8f2e-ecd5a6caf432,SouthAfrica,91.38,52.05,10.09,14097.91,Public,23.52,2.45,1397.57,154.29,,,Middelburg,,,
1486,43a5700a-2bf9-415a-9b75-19fe5ad85ee0,SouthAfrica,55,26.25,5.09,7631.48,Single-family residential,27.38,,1498.54,138.76,,,Middelburg,,,
1487,39a3e386-2492-4498-bcd7-574df735063e,SouthAfrica,18.24,7.32,1.42,1807.29,Single-family residential,23.84,,1270.57,99.11,,,Middelburg,,,
1488,e1a2c18c-b6bb-40c4-9ca7-65286ab2544f,SouthAfrica,32.18,14.95,2.9,4280.8,Single-family residential,19.88,,1474.39,133.03,,,Middelburg,,,
1489,09aa7126-3529-4c77-ad62-f377381787b6,SouthAfrica,47.47,26.4,5.12,8291.06,Single-family residential,24.35,2.16,1620.19,174.66,,,Middelburg,,,
1490,ca01b713-a669-4651-9901-3e35b33ae8ef,SouthAfrica,16.03,6.57,1.28,1969.85,Single-family residential,24.1,,1544.29,122.86,,,Middelburg,,,
1491,ddc7c9d0-e7e8-4ae4-bb76-ff1df7b2b5db,SouthAfrica,83.55,49.28,9.56,15852.38,Single-family residential,29.97,,1658.11,189.74,,,Middelburg,,,
1492,91b912de-814f-449d-be70-20b45ec36641,SouthAfrica,20.92,8.18,1.59,2001.62,Single-family residential,26.15,,1261.28,95.66,,,Middelburg,,,
1493,6b1771eb-9877-472c-843e-06880fe30405,SouthAfrica,14.4,4.12,0.8,1201.1,Single-family residential,21.14,2.7,1502,83.43,,,Middelburg,,,
1494,9d74e6a9-59e1-47b1-b8b9-40048c449b21,SouthAfrica,20.03,8.93,1.73,2408.38,Single-family residential,17.72,2.33,1390,120.21,,,Middelburg,,,
1495,80df28f2-2898-4193-a4e0-73d7a266484a,SouthAfrica,50.22,27.84,5.4,7841.39,Single-family residential,21.44,2.56,1451.83,156.14,,,Middelburg,,,
1496,a470cbac-ca05-44f9-931b-aad68c552a97,SouthAfrica,13.3,5.2,1.01,1306.06,Single-family residential,20.63,,1295.25,98.21,,,Middelburg,,,
1497,8b095807-a3f4-4164-a6fd-1eed26fe34a2,SouthAfrica,30.68,8.05,1.56,2034.38,Single-family residential,26.27,,1302.21,66.32,,,Middelburg,,,
1498,399c5d74-996a-4d98-b2c4-79cdf39fa2c6,SouthAfrica,9.79,3.38,0.66,904.65,Single-family residential,19.35,,1380,92.45,,,Middelburg,,,
1499,0c46170f-b0e8-4633-958f-bc34f35717b3,SouthAfrica,70.13,40.75,7.9,10016.82,Single-family residential,23.23,3.21,1267.19,142.84,,,Middelburg,,,
1500,71e976dc-41ba-492a-8862-bd5178ed7d79,SouthAfrica,7.91,0,0,0,Single-family residential,32.77,,,0,,,Middelburg,,,
1501,33f98fb4-203b-4f22-9a53-c9d9f5ed0dc7,SouthAfrica,26.21,7.18,1.39,1968.11,Single-family residential,25.61,2.48,1412,75.09,,,Middelburg,,,
1502,6ae30588-471d-4a3a-aeaa-f86e0f692bd5,SouthAfrica,156.25,71.34,13.84,21403.66,Single-family residential,24.98,4.33,1546.5,136.98,,,Middelburg,,,
1503,60c57645-837d-468b-b19c-dcd0d27a763d,SouthAfrica,30.54,15.33,2.98,4628.81,Single-family residential,19.78,,1554.73,151.55,,,Middelburg,,,
1504,ac00942a-a67d-44eb-bd70-fb87002d7b7e,SouthAfrica,34.73,17.95,3.48,5247.72,Single-family residential,19.66,2.42,1507.2,151.1,,,Middelburg,,,
1505,1973a1da-56df-4d22-a3c4-ad7e6b7e3920,SouthAfrica,72.75,37.02,7.19,12102.39,Single-family residential,24.93,,1683.55,166.36,,,Middelburg,,,
1506,af40f222-4452-4b7a-a5ef-cf535ed654bd,SouthAfrica,66,35.83,6.95,10482.12,Single-family residential,24.68,2.42,1508.09,158.82,,,Middelburg,,,
1507,0fe12a4f-197f-4b01-8649-d719787d0960,SouthAfrica,68.65,37.55,7.28,10957.19,Single-family residential,22.12,,1505.51,159.6,,,Middelburg,,,
1508,ea0b4f61-127e-4a6d-bbb5-61af7b64d981,SouthAfrica,32.35,15.27,2.96,3569.45,Single-family residential,20.65,2.43,1205,110.35,,,Middelburg,,,
1509,92fc0bc4-20f0-4ba3-b43e-f6b54b4c47f7,SouthAfrica,42.39,20.64,4,6862.4,Single-family residential,16.87,2.9,1714,161.89,,,Middelburg,,,
1510,6d31c60e-cdcd-4434-b90c-ade4955a2490,SouthAfrica,51.2,22.33,4.33,5561.48,Single-family residential,20.8,3.06,1284,108.61,,,Middelburg,,,
1511,e7362958-f590-482f-a795-eb3dafdfc0ea,SouthAfrica,31.36,14.46,2.8,4660.69,Single-family residential,19.58,3.04,1661.72,148.6,,,Middelburg,,,
1512,d5e548e5-ebe0-4555-a671-4e420df08924,SouthAfrica,58.38,27.95,5.42,7184.23,Single-family residential,24.96,2.58,1325.1,123.07,,,Middelburg,,,
1513,0b3a3500-421e-4f94-81fa-eef617f63d3d,SouthAfrica,22.84,10.77,2.09,3483.59,Single-family residential,19.65,2.63,1667.67,152.55,,,Middelburg,,,
1514,0eafdc2d-7026-4bee-9897-a9a753f345ee,SouthAfrica,38.4,19.44,3.77,4818.06,Single-family residential,25.57,,1277.5,125.46,,,Middelburg,,,
1515,03e4894c-9a84-40dd-9ced-740d6be128b9,SouthAfrica,80.24,38.56,7.47,10636.46,Single-family residential,23.26,2.41,1423.32,132.56,,,Middelburg,,,
1516,a13860e3-ec21-4417-b16b-0d878c078cc7,SouthAfrica,16.38,6.25,1.21,1906.68,Single-family residential,18.6,2.2,1572.8,116.39,,,Middelburg,,,
1517,cfd079c3-0206-4adc-aa55-9ff68759e65f,SouthAfrica,49.87,27.22,5.28,7555.94,Single-family residential,24.43,,1430.75,151.51,,,Middelburg,,,
1518,445ff152-89bc-4f4f-9daa-1c0af54e26aa,SouthAfrica,13.46,4.08,0.79,1342.98,Single-family residential,23.23,2.21,1696,99.8,,,Middelburg,,,
1519,5d605732-d8a0-476c-bf05-71962bfc19ce,SouthAfrica,49.45,25.89,5.02,8141.78,Single-family residential,18.83,2.62,1621.16,164.65,,,Middelburg,,,
1520,158fccf5-c839-42dc-a798-22e9157c1fd8,SouthAfrica,14.04,5.62,1.09,1325.15,Single-family residential,22.9,,1214.6,94.35,,,Middelburg,,,
1521,4d164c2b-d1b0-4109-9926-9263c16365d6,SouthAfrica,25.4,12.07,2.34,2821.2,Single-family residential,24.57,2.46,1205,111.08,,,Middelburg,,,
1522,a407243b-3577-471b-95c2-76ec95dfa58f,SouthAfrica,39.69,19.2,3.73,5118.96,Single-family residential,20.1,,1374,128.97,,,Middelburg,,,
1523,603b313f-6471-43c3-9589-4b58d5609f86,SouthAfrica,61.01,33.75,6.54,10021.36,Single-family residential,22.01,,1532.14,164.25,,,Middelburg,,,
1524,ea830b6a-733a-48df-85c0-ccbc391bbee7,SouthAfrica,32.57,16.52,3.2,4403.36,Single-family residential,20.85,3.73,1374,135.22,,,Middelburg,,,
1525,29d6c3ef-b911-4459-89f6-08f2eb194f2d,SouthAfrica,16.35,6.89,1.34,2234.69,Single-family residential,19.71,3.89,1671.5,136.72,,,Middelburg,,,
1526,9a3f217e-bd1b-4b52-a79f-a6efa5bfef2f,SouthAfrica,33,16.83,3.26,4688.2,Single-family residential,20.92,,1435.94,142.07,,,Middelburg,,,
1527,4325415c-282d-41b6-a604-e73da57d985a,SouthAfrica,75.89,44.37,8.6,12871.42,Single-family residential,19.78,,1496.74,169.6,,,Middelburg,,,
1528,9c64640d-f771-4d15-9137-3d28baf64300,SouthAfrica,8.64,2.79,0.54,936.78,Single-family residential,29.02,,1732,108.42,,,Middelburg,,,
1529,b372d793-3e18-4a05-bfed-e21fb87b5a32,SouthAfrica,58.54,22.08,4.28,6305.91,Single-family residential,20.93,2.62,1471.9,107.72,,,Middelburg,,,
1530,755675d8-09ce-4727-9f7c-c755236a8d53,SouthAfrica,46.07,16.55,3.21,3307.46,Single-family residential,32.36,2.33,1029.9,71.8,,,Middelburg,,,
1531,cd108081-d2b4-4432-bc9f-3152af5bea87,SouthAfrica,115.41,67.97,13.19,22126.23,Single-family residential,22.73,3.62,1678.06,191.71,,,Middelburg,,,
1532,edcfa042-7a95-4e70-ab9e-7128bd3e8bf1,SouthAfrica,46.96,24.13,4.68,7302.15,Single-family residential,18.72,2.85,1560.09,155.49,,,Middelburg,,,
1533,1ce35334-2058-4ffa-9a7b-418d9595c617,SouthAfrica,9.48,3.13,0.61,948.53,Single-family residential,18.35,,1562.38,100.03,,,Middelburg,,,
1534,cb988100-014a-4041-ae21-e4130283dcf7,SouthAfrica,167.5,91.2,17.71,27700.53,Single-family residential,21.24,3,1564.15,165.38,,,Middelburg,,,
1535,9425741d-6e7a-4f72-874b-745154e1b257,SouthAfrica,60.75,35.01,6.79,11593.56,Single-family residential,24.36,,1706.82,190.84,,,Middelburg,,,
1536,099b8304-a720-4bbd-899b-719ebddd8f7b,SouthAfrica,8.99,1.91,0.37,586.71,Single-family residential,23.33,2.19,1582,65.26,,,Middelburg,,,
1537,5815f15c-0e79-470d-8790-a08a19b62b37,SouthAfrica,8.35,0,0,0,Single-family residential,36.97,,,0,,,Middelburg,,,
1538,53407934-2616-4b7e-b0cd-2f493b9a803c,SouthAfrica,55.2,28.36,5.5,8621.51,Single-family residential,20.8,,1567.18,156.18,,,Middelburg,,,
1539,87dd80e1-5c3c-445f-a9f4-31f511108ea8,SouthAfrica,54.78,30.5,5.92,9573.47,Single-family residential,24.1,,1618,174.77,,,Middelburg,,,
1540,34b037a3-90ed-418f-8c4b-83e7e65ceb4e,SouthAfrica,39.07,15.4,2.99,4819.59,Single-family residential,22.02,2.84,1613.6,123.37,,,Middelburg,,,
1541,e5dc3b05-26bf-4d50-906d-e5738dd4b44b,SouthAfrica,150.38,86.3,16.76,25569.38,Single-family residential,24.21,4.02,1525.73,170.04,,,Middelburg,,,
1542,a740ee6c-a0c8-405c-b3ce-fd613cc5cee7,SouthAfrica,39.09,20.31,3.94,6474.45,Single-family residential,25.12,2.94,1643.6,165.63,,,Middelburg,,,
1543,8ae77ba6-4c27-4504-9bf9-d70a8b27641f,SouthAfrica,31.51,14.86,2.88,3521.08,Single-family residential,21.5,,1221,111.76,,,Middelburg,,,
1544,19bc705d-710d-427d-b2ad-899592db8ee7,SouthAfrica,72.19,42.06,8.16,12124.74,Single-family residential,19.98,2.6,1485.89,167.95,,,Middelburg,,,
1545,80e84046-3c8c-45a8-8f1e-47720cb3db78,SouthAfrica,30.8,12.97,2.52,4294.72,Single-family residential,17.98,2.61,1707.33,139.43,,,Middelburg,,,
1546,16d5a65f-e96f-488d-84d4-005d20a5e84a,SouthAfrica,67.53,32.84,6.37,8831.77,Single-family residential,24.7,2.73,1386.38,130.78,,,Middelburg,,,
1547,3e766ba0-068f-46d9-95e9-ec5e3cc48e30,SouthAfrica,12.75,4.93,0.96,1645.23,Single-family residential,21.15,2.24,1718.8,129.04,,,Middelburg,,,
1548,c6518aaa-c341-47b5-b95a-6c022a4ea4b0,SouthAfrica,12.53,0,0,0,Single-family residential,17.42,2.93,,0,,,Middelburg,,,
1549,48f7393c-c267-435e-9f61-8dd1a64f9ad2,SouthAfrica,29.18,13.68,2.65,3498.09,Single-family residential,20.36,,1317.72,119.86,,,Middelburg,,,
1550,c70870d1-171e-4906-bd41-7430fc54c8cf,SouthAfrica,38.67,19.19,3.72,5655.46,Single-family residential,21.4,2.31,1519.2,146.27,,,Middelburg,,,
1551,8998e10b-ac70-40c9-a6bd-c0202da394e9,SouthAfrica,33.65,16.22,3.15,4642.23,Single-family residential,19.65,2.21,1475,137.94,,,Middelburg,,,
1552,e3f72bcc-2ab3-4475-8a6f-9b3e554ca9ad,SouthAfrica,57.35,25.33,4.91,7445.23,Single-family residential,21.36,2.7,1516.67,129.83,,,Middelburg,,,
1553,330adb2d-6ee5-4c3c-bbeb-93d4420dfe8d,SouthAfrica,80.93,44,8.54,13171.92,Single-family residential,19.28,3.09,1543.19,162.75,,,Middelburg,,,
1554,393a80d9-446b-450a-8f14-b12954da68ad,SouthAfrica,84.3,48.47,9.41,15855.82,Single-family residential,20.81,3.06,1684.48,188.09,,,Middelburg,,,
1555,e3c78c32-d02f-48e9-b33e-fd978b59e8f2,SouthAfrica,50.75,28.33,5.5,8646.69,Single-family residential,24.57,,1573.13,170.38,,,Middelburg,,,
1556,9708cd4b-04bc-41e4-a56c-a89cccb343e0,SouthAfrica,289.59,205.39,39.85,63034.86,Schools,24.69,3.59,1582,217.67,,,Middelburg,,,
1557,51e22f9d-5842-46f4-a491-794fb1fd6f0c,SouthAfrica,20.05,2.65,0.51,802.8,Single-family residential,23.9,2.3,1561,40.04,,,Middelburg,,,
1558,70ad8391-95bb-4129-871a-8e505e123cee,SouthAfrica,12.4,4.55,0.88,1338.29,Single-family residential,19.02,2.09,1515.75,107.92,,,Middelburg,,,
1559,68b1cd72-21e5-4e6a-bdf5-062878f93dca,SouthAfrica,131.5,69.43,13.47,19277.04,Single-family residential,22.76,2.98,1431.24,146.59,,,Middelburg,,,
1560,4ccc8ca1-d361-4c05-9ff7-580dda7ccbe5,SouthAfrica,21,9.41,1.83,2692.4,Single-family residential,19.59,,1475,128.21,,,Middelburg,,,
1561,636e0fe1-d95f-410b-bcce-ed280accfcb4,SouthAfrica,281.95,194.68,37.77,57238.09,Schools,23.89,3.92,1515.56,203.01,,,Middelburg,,,
1562,24cda5e5-8bc0-484f-b834-c6d39b5cc928,SouthAfrica,63.13,31.27,6.06,9538.6,Single-family residential,19.84,3.58,1574,151.11,,,Middelburg,,,
1563,df1715e9-afa5-41a0-bb1e-64ac3d4e5d9b,SouthAfrica,68.38,39.76,7.71,13434.63,Single-family residential,25.14,,1741.6,196.48,,,Middelburg,,,
1564,0fe11d71-eb72-4e34-95a5-b9a3552c3ff6,SouthAfrica,23.26,10.09,1.96,3266.32,Single-family residential,30.17,,1667.69,140.4,,,Middelburg,,,
1565,92956ec4-2531-46d1-aff9-c479946904a4,SouthAfrica,74.55,42.47,8.25,12566.44,Single-family residential,23.42,2.9,1523.52,168.57,,,Middelburg,,,
1566,d7624eac-c03b-419b-8699-c4696af505c0,SouthAfrica,76.64,44.88,8.71,12294.74,Single-family residential,22.23,,1412,160.41,,,Middelburg,,,
1567,b4f30f29-624c-4771-8f25-c79a52b9b198,SouthAfrica,40.33,20.91,4.06,7025.65,Single-family residential,22.15,,1732,174.21,,,Middelburg,,,
1568,8d012a8b-e851-46fd-a854-3444b47ffd4e,SouthAfrica,78.24,41.04,7.96,11970.95,Single-family residential,22.31,3.02,1503.37,153,,,Middelburg,,,
1569,d2bdaf6e-3f2f-4e13-ba0b-2cf0361b7c71,SouthAfrica,34.51,13.89,2.69,4102.33,Single-family residential,19.03,2.66,1523.93,118.87,,,Middelburg,,,
1570,2b688d15-ed68-45b3-b4e0-4f73932b4a73,SouthAfrica,39.44,19.3,3.75,5145.81,Single-family residential,26.79,,1374,130.47,,,Middelburg,,,
1571,d0e74995-f19a-4586-b028-d5a79ca69cf1,SouthAfrica,18.83,8.35,1.62,2372.52,Single-family residential,20.07,,1463,126.01,,,Middelburg,,,
1572,3981665c-743a-4f12-b96f-1eb484572cc5,SouthAfrica,20.62,7.97,1.55,2188.24,Single-family residential,20.34,2.17,1415,106.13,,,Middelburg,,,
1573,9d20af27-c33a-46a5-a855-ad5046cba9a3,SouthAfrica,34.07,17.48,3.39,5226.58,Single-family residential,21.3,,1541.13,153.4,,,Middelburg,,,
1574,9ab035c0-b2d9-451e-adf4-201561f4587c,SouthAfrica,11.23,4.06,0.79,1374.12,Single-family residential,20.66,,1744.2,122.38,,,Middelburg,,,
1575,3707e6ed-68c5-4708-86be-85c575455969,SouthAfrica,269.66,147.07,28.53,49777.19,Schools,26.62,3.92,1744.59,184.59,,,Middelburg,,,
1576,fc06c1d0-0709-45fd-a466-2d5f3fe45521,SouthAfrica,32.06,15.67,3.04,4809.41,Schools,26.41,,1582.02,150.02,,,Middelburg,,,
1577,b4311561-0aab-4094-b528-dcfd5b71a09b,SouthAfrica,48.98,24.77,4.81,7718.72,Single-family residential,20.7,2.17,1604.62,157.6,,,Middelburg,,,
1578,2351abcd-6bc5-4911-ad35-2c76c3487fad,SouthAfrica,22.93,7.16,1.39,1410.7,Schools,34.95,2.25,1016,61.53,,,Middelburg,,,
1579,24ba3f31-891b-49de-bacf-a1f7f476a732,SouthAfrica,28.75,13.47,2.61,4034.09,Single-family residential,23.49,,1543.75,140.32,,,Middelburg,,,
1580,e42be99a-7132-40c4-8b6b-1cf9b9347136,SouthAfrica,26.53,12.75,2.47,4066.69,Single-family residential,29.27,,1643.97,153.29,,,Middelburg,,,
1581,9417c517-cb89-4a95-8c73-2c6bde34a736,SouthAfrica,10.12,0,0,0,Single-family residential,15.57,,,0,,,Middelburg,,,
1582,2374d259-8dd7-45be-a026-223bfb6206cb,SouthAfrica,62.68,29.85,5.79,6978.17,Schools,21.32,2.98,1205,111.32,,,Middelburg,,,
