OBJECTID,uuid,City,Surface_area,Potential_installable_area,Peak_installable_capacity,Energy_potential_per_year,Assumed_building_type,Estimated_tilt,Estimated_building_height,Estimated_capacity_factor,Unit_installation_price,Date_added,Comment,aoi,roof_quality,Estimated_installation_efficiency
"14256",8ef31dab-5f92-48cc-b2d0-90f30761853d,StMaarten,48.8300018310547,13.5200004577637,2.61999988555908,4180.72021484375,Single-family residential,11.8299999237061,9.9399995803833,"1593.59",,,,Philipsburg,Good,85.620002746582
"14257",323b4047-8f68-4baa-9add-285a50e0da1a,StMaarten,243.5,178.770004272461,34.6800003051758,59410.76171875,Commercial,0,3.75999999046326,"1713",,,,Cole Bay,Good,243.979995727539
"14258",9a6112ae-9f9d-47f6-9d01-07b3bfb86df1,StMaarten,33.0299987792969,10.0100002288818,1.94000005722046,3227.47998046875,Single-family residential,8.5,5.71999979019165,"1662",,,,Cul-de-Sac,Good,97.7099990844727
"14259",9491452d-5fa8-4528-b89b-a7317fdfe00f,StMaarten,180.860000610352,105.180000305176,20.4099998474121,34812.140625,Industrial,0,3.76999998092651,"1706",,,,Philipsburg,Good,192.479995727539
"14260",46c90d6a-e491-4088-8151-34909ed8a482,StMaarten,69.629997253418,30.4400005340576,5.90000009536743,8136.91015625,Industrial,28.8600006103516,3.53999996185303,"1378",,,,Cole Bay,Good,116.849998474121
"14261",8f3d3670-7018-43f8-9004-c6151311d7b0,StMaarten,216.220001220703,122.580001831055,23.7800006866455,40640.890625,Public,0,4.61999988555908,"1709",,,,Low Lands,Good,187.960006713867
"14262",cd0fc006-2b14-4b23-897f-4b6cc65c9ff7,StMaarten,181.889999389648,86.1800003051758,16.7199993133545,28522.6796875,Single-family residential,0,5.09999990463257,"1706",,,,Lower Princes Quarter,Good,156.820007324219
"14263",500d0949-f7d1-48e4-9a22-e5b2a78e4ec1,StMaarten,143.149993896484,89.4899978637695,17.3600006103516,27958.609375,Single-family residential,19.2999992370605,,"1610.4",,,,Upper Princes Quarter,Good,195.309997558594
"14264",04b01b4d-6a51-4a1c-8215-c603768c6a6c,StMaarten,89.5299987792969,49.4799995422363,9.60000038146973,14709.16015625,Single-family residential,23.9599990844727,,"1532.49",,,,Little Bay Area,Good,164.300003051758
"14265",640513f4-cdc5-4621-b05d-216f904738d2,StMaarten,45.4099998474121,14.9399995803833,2.90000009536743,4912.16015625,Single-family residential,0,3.70000004768372,"1695",,,,Cole Bay,Good,108.169998168945
"14266",11f41c0a-8f68-429d-84dc-6ea01083d663,StMaarten,222.229995727539,110.830001831055,21.5,31972.130859375,Single-family residential,17.2900009155273,8.22000026702881,"1487",,,,Lower Princes Quarter,Good,143.869995117188
"14267",a294bb25-5305-407d-9a84-9daeac6b4eb3,StMaarten,75.5800018310547,37.0299987792969,7.17999982833862,12255.3095703125,Single-family residential,0,2.38000011444092,"1706",,,,Upper Princes Quarter,Good,162.139999389648
"14268",aca95f0d-f403-493e-8ad7-3a658378e536,StMaarten,22.9799995422363,9.22999954223633,1.78999996185303,2731.09008789062,Single-family residential,10.7299995422363,2.95000004768372,"1525",,,,Upper Princes Quarter,Good,118.849998474121
"14269",aa6ec008-6a0a-40a9-ac65-5a642aa9ec04,StMaarten,420.130004882812,187.449996948242,36.3699989318848,60439.69140625,Single-family residential,0,6.09999990463257,"1662",,,,Cul-de-Sac,Good,143.860000610352
"14270",20d1f289-2494-4446-b231-46efc2f78a16,StMaarten,35,18.4099998474121,3.5699999332428,5746.77001953125,Single-family residential,10.710000038147,2.03999996185303,"1609.22",,,,Cole Bay,Good,164.190002441406
"14271",8a6dff0b-7322-40de-97ff-908273d60770,StMaarten,30.2399997711182,10.7399997711182,2.07999992370605,3462.8701171875,Single-family residential,0,5.03000020980835,"1662",,,,Cul-de-Sac,Good,114.519996643066
"14272",86162319-ecaf-4cf6-af50-928cd099c918,StMaarten,89.7399978637695,19.5599994659424,3.78999996185303,6123.1201171875,Single-family residential,29.0300006866455,2.72000002861023,"1614",,,,Upper Princes Quarter,Good,68.2300033569336
"14273",83c72373-a782-459f-8187-6a3ec71bc2a8,StMaarten,209.539993286133,102.169998168945,19.8199996948242,30832.400390625,Single-family residential,13,3.13000011444092,"1555.5",,,,Cul-de-Sac,Good,147.139999389648
"14274",77c26100-ce7e-4e70-a2b6-ce55082672f2,StMaarten,111.470001220703,63.6800003051758,12.3500003814697,19584.439453125,Single-family residential,11.4200000762939,2.59999990463257,"1585.38",,,,Cole Bay,Good,175.690002441406
"14275",65018689-bea1-4426-823d-8be822154c4f,StMaarten,1002.13000488281,619.340026855469,120.150001525879,206902.765625,Commercial,14.7200002670288,5.53000020980835,"1722",,,,Upper Princes Quarter,Good,206.460006713867
"14276",1ee67c0d-4a3c-46b6-8013-282bc46bba54,StMaarten,107.330001831055,35.7900009155273,6.94000005722046,10412.66015625,Single-family residential,13.1000003814697,3.0699999332428,"1499.64",,,,Simpson Bay,Good,97.0100021362305
"14277",3b1a58c2-139d-4020-b92b-0e201cba4e9e,StMaarten,315.980010986328,101.220001220703,19.6399993896484,29781.5703125,Single-family residential,12.9799995422363,12,"1516.57",,,,Cul-de-Sac,Good,94.25
"14278",fac8bb6b-d4e4-4021-a1b7-8ccc3137f364,StMaarten,98.0500030517578,58.3199996948242,11.3100004196167,19087.640625,Single-family residential,11.9499998092651,,"1687",,,,Cole Bay,Good,194.669998168945
"14279",7ef8660c-c5cf-47c0-a16f-7ce5d0adbfc0,StMaarten,148.869995117188,75.2799987792969,14.6000003814697,24271.490234375,Single-family residential,0,4.55000019073486,"1662",,,,Lower Princes Quarter,Good,163.039993286133
"14280",4f9c9179-c03f-472b-aaa6-3f1153959a51,StMaarten,219.710006713867,118.720001220703,23.0300006866455,38277.05859375,Single-family residential,0,5.6399998664856,"1662",,,,Cul-de-Sac,Good,174.220001220703
"14281",a662bf7e-7686-4580-8988-cab20370f1cb,StMaarten,77.7099990844727,38,7.36999988555908,12253.6796875,Single-family residential,0,7.25,"1662",,,,Lower Princes Quarter,Good,157.679992675781
"14282",7f48892b-666e-46b9-aad8-fce1326c1176,StMaarten,22.4699993133545,10.1800003051758,1.98000001907349,2609.14990234375,Single-family residential,24,3.44000005722046,"1321",,,,Cul-de-Sac,Good,116.129997253418
"14283",cc242573-2233-4f2f-a641-4a0ccf28080e,StMaarten,170.220001220703,76.7900009155273,14.8999996185303,25756.119140625,Multi-family residential,16.3299999237061,5.67000007629395,"1729",,,,Little Bay Area,Good,151.309997558594
"14284",fbfe82e5-89c2-453e-b901-ea3f3c3e8b56,StMaarten,113.150001525879,52,10.0900001525879,17543.619140625,Single-family residential,0,6,"1739",,,,Philipsburg,Good,155.039993286133
"14285",accd7cc7-e483-4742-8ec4-569149809231,StMaarten,89.8399963378906,33.3600006103516,6.46999979019165,10204.1396484375,Single-family residential,15.3699998855591,2.05999994277954,"1576.52",,,,Cole Bay,Good,113.580001831055
"14286",c6850f8b-b16e-42e5-bb5a-91f10e084856,StMaarten,65.8300018310547,13.1300001144409,2.54999995231628,3883.03002929688,Single-family residential,15.9700002670288,2.72000002861023,"1525",,,,Upper Princes Quarter,Good,58.9900016784668
"14287",572bf989-397b-43a0-93ba-fc177167cf10,StMaarten,221.660003662109,84.2099990844727,16.3400001525879,27152.80078125,Single-family residential,8.14000034332275,3.34999990463257,"1662",,,,Cul-de-Sac,Good,122.5
"14288",c543d3dc-7ad2-4c9f-a544-94b8e0f87217,StMaarten,203.199996948242,83.9199981689453,16.2800006866455,23333.849609375,Single-family residential,28.3700008392334,5.46000003814697,"1433.16",,,,Upper Princes Quarter,Good,114.830001831055
"14289",a3c48c2c-2a5e-4c15-836a-99dfea8801ec,StMaarten,195.889999389648,115.610000610352,22.4300003051758,38262.37890625,Single-family residential,0,3.76999998092651,"1706",,,,Upper Princes Quarter,Good,195.320007324219
"14290",bd0f2577-b69b-4799-bd10-f811989bdd46,StMaarten,47.7099990844727,22.2399997711182,4.30999994277954,6733.77978515625,Single-family residential,27.4099998474121,,"1562.13",,,,Lower Princes Quarter,Good,141.130004882812
"14291",69fb6c0b-555a-4c36-a3cd-19c88f403449,StMaarten,38.7999992370605,8.90999984741211,1.73000001907349,2953.3798828125,Single-family residential,0,4.26999998092651,"1709",,,,Simpson Bay,Good,76.120002746582
"14292",1c2ab5ef-646d-4662-8254-7171219e2c65,StMaarten,63.2599983215332,12.4700002670288,2.42000007629395,4131.81005859375,Single-family residential,8.69999980926514,2.46000003814697,"1706",,,,Upper Princes Quarter,Good,65.3199996948242
"14293",0e9af5b6-0a3c-41d6-a437-f3537245e499,StMaarten,174.119995117188,105.129997253418,20.3899993896484,31610.240234375,Single-family residential,14.0900001525879,,"1549.91",,,,Upper Princes Quarter,Good,181.539993286133
"14294",c76f0e4c-e2ff-4d1f-b141-de18171a0721,StMaarten,82.0299987792969,31.8600006103516,6.17999982833862,10543.73046875,Single-family residential,0,3.20000004768372,"1706",,,,Lower Princes Quarter,Good,128.529998779297
"14295",d24e098b-8753-4172-a755-5b8280279270,StMaarten,69.6399993896484,36.3899993896484,7.05999994277954,11267.2900390625,Single-family residential,17.9799995422363,,"1595.85",,,,Cul-de-Sac,Good,161.779998779297
"14296",656ab718-7dfe-4309-ae3b-cb6ac252406a,StMaarten,96.9700012207031,40.75,7.90999984741211,12169.9599609375,Single-family residential,10.9200000762939,,"1539.25",,,,Upper Princes Quarter,Good,125.5
"14297",a32a3f2f-ae9f-4f70-a6ff-52035775a8c2,StMaarten,52.8800010681152,20.1700000762939,3.91000008583069,4821.39990234375,Single-family residential,35.5099983215332,,"1232",,,,Lower Princes Quarter,Good,91.1800003051758
"14298",8bc8615b-2039-480e-bf9e-07d059f1a276,StMaarten,208.889999389648,84.9499969482422,16.5,25351.26953125,Single-family residential,30,2.54999995231628,"1536.66",,,,Cul-de-Sac,Good,121.360000610352
"14299",136d54dd-9065-4e90-8377-06774f0b850e,StMaarten,147.940002441406,67.0599975585938,13.0100002288818,20225.83984375,Single-family residential,21.7000007629395,5.21999979019165,"1554.67",,,,Lower Princes Quarter,Medium,136.720001220703
"14300",b007e32d-0184-4f0d-a7db-61274eb26a94,StMaarten,63.5099983215332,22.2399997711182,4.32000017166138,7362.2001953125,Single-family residential,0,3.22000002861023,"1706",,,,Lower Princes Quarter,Good,115.930000305176
"14301",a0f28cfb-bf7c-43c9-86b9-843e9d66f5b1,StMaarten,32.1300010681152,15.6800003051758,3.03999996185303,5029.2001953125,Single-family residential,16.9500007629395,,"1653",,,,Lower Princes Quarter,Good,156.5
