OBJECTID,uuid,City,Surface_area,Potential_installable_area,Peak_installable_capacity,Energy_potential_per_year,Assumed_building_type,Estimated_tilt,Estimated_building_height,Estimated_capacity_factor,Unit_installation_price,Date_added,Comment,aoi
"2593",020c980a-4a42-48dd-b5c6-03d1481a0073,StLucia,45.2700004577637,24.6100006103516,4.76999998092651,6630.6298828125,Single-family residential,21.5599994659424,4.94,"1389.0",,2023-01-03T13:15:51.000,,Soufriere
"2594",4bfc6c1e-02a2-48d8-89db-9729b48510f3,StLucia,119.589996337891,71.1900024414063,13.8100004196167,19700.560546875,Single-family residential,24.3299999237061,3.8,"1426.44",,2023-01-03T13:15:51.000,,Soufriere
"2595",eb96d438-56bf-4aa3-a155-5331248252ad,StLucia,127.76000213623,51.8499984741211,10.0500001907349,13347.0703125,Single-family residential,34.9500007629395,,"1328.14",,2023-01-03T13:15:51.000,,Soufriere
"2596",4658d234-ba83-4bba-91ec-db9e5572ebda,StLucia,137.619995117188,82.3300018310547,15.9700002670288,21864.080078125,Public,8.97000026702881,4.81,"1368.82",,2023-01-03T13:15:51.000,,Soufriere
"2597",ac30afa3-c7d8-4f02-acac-96c96aae92b9,StLucia,46.25,21.3400001525879,4.1399998664856,6118.2998046875,Single-family residential,21.6499996185303,3.03,"1478.0",,2023-01-03T13:15:51.000,,Soufriere
"2598",087d64a0-5226-458c-963c-191b08d645be,StLucia,46.3800010681152,24.2900009155273,4.71000003814697,6179.669921875,Single-family residential,24.25,2.59,"1311.55",,2023-01-03T13:15:51.000,,Soufriere
"2599",61d29079-ec14-41d8-b1ae-eeeba1df1881,StLucia,144.220001220703,88.9899978637695,17.2600002288818,26409.0703125,Single-family residential,22.9500007629395,3.53,"1529.79",,2023-01-03T13:15:51.000,,Soufriere
"2600",84745ae2-1f7c-44c9-bd28-f3fc84096a34,StLucia,69.0800018310547,39.7299995422363,7.71000003814697,11748.900390625,Single-family residential,22.9500007629395,2.48,"1524.15",,2023-01-03T13:15:51.000,,Soufriere
"2601",79109565-a876-4f9a-92fc-fc5dd6cee321,StLucia,51.7299995422363,26.0400009155273,5.05000019073486,6314.22021484375,Single-family residential,23.4400005340576,3.02,"1250.0",,2023-01-03T13:15:51.000,,Soufriere
"2602",717a9404-edcc-401d-91bb-4fea400d7dfb,StLucia,33.8800010681152,14.210000038147,2.75999999046326,3579.10009765625,Single-family residential,20.1599998474121,4.35,"1298.0",,2023-01-03T13:15:51.000,,Soufriere
"2603",56dbeb6e-5fdd-4d72-a330-728c5fd27a22,StLucia,107.319999694824,65.4300003051758,12.6899995803833,17630.669921875,Single-family residential,22.6299991607666,3.13,"1389.0",,2023-01-03T13:15:51.000,,Soufriere
"2604",d2e52bf8-1c84-425f-83c6-672f3ab808a9,StLucia,163.110000610352,90.379997253418,17.5300006866455,26710.4296875,Single-family residential,24.5,4.99,"1523.36",,2023-01-03T13:15:51.000,,Soufriere
"2605",ace30c6f-fdd3-4f79-9d82-4bf4ed69baf0,StLucia,212.440002441406,132.559997558594,25.7199993133545,38705.91015625,Single-family residential,21.9200000762939,,"1505.04",,2023-01-03T13:15:51.000,,Soufriere
"2606",d9dc1593-00fe-401a-8045-39b000327df0,StLucia,15.4300003051758,6.42999982833862,1.25,1843.40002441406,Single-family residential,20.5,,"1478.0",,2023-01-03T13:15:51.000,,Soufriere
"2607",326c9bd3-0aeb-4689-9d5a-186b07b0f0af,StLucia,94.6600036621094,56.689998626709,11,15188.6396484375,Single-family residential,24.8099994659424,2.28,"1381.14",,2023-01-03T13:15:51.000,,Soufriere
"2608",48445e91-1b49-47a3-af5b-c455e04b0104,StLucia,167.169998168945,100.839996337891,19.5599994659424,27461.189453125,Single-family residential,24.5400009155273,4.12,"1403.74",,2023-01-03T13:15:51.000,,Soufriere
"2609",3fb5f5ed-1432-40d4-a3bf-2ac804e7d1ab,StLucia,124.669998168945,75.4499969482422,14.6400003433228,22279.0390625,Single-family residential,20.7299995422363,,"1522.0",,2023-01-03T13:15:51.000,,Soufriere
"2610",72c60d6c-2d7c-461e-9f32-13211550cc5a,StLucia,140.479995727539,87.1800003051758,16.9099998474121,26146.66015625,Hotels,10.6400003433228,2.74,"1546.0",,2023-01-03T13:15:51.000,,Soufriere
"2611",9706e9fb-0b52-4266-a9b2-ad3df74758ae,StLucia,129.089996337891,70.1900024414063,13.6199998855591,18483.4296875,Single-family residential,24.4899997711182,4.72,"1357.42",,2023-01-03T13:15:51.000,,Soufriere
"2612",14c48907-35eb-4f07-840f-23a2f91af036,StLucia,47.9500007629395,23.5799999237061,4.57000017166138,6563.81005859375,Single-family residential,20.3400001525879,4.18,"1434.89",,2023-01-03T13:15:51.000,,Soufriere
"2613",dc062ad7-0ce2-4f20-ad62-81dd3660818b,StLucia,149.220001220703,85.2300033569336,16.5300006866455,23097.939453125,Single-family residential,27.8999996185303,5.63,"1397.0",,2023-01-03T13:15:51.000,,Soufriere
"2614",b435169e-9deb-474e-90ec-44822d483d8a,StLucia,132.470001220703,76.0199966430664,14.75,21190.76953125,Single-family residential,22.8299999237061,2.3,"1436.93",,2023-01-03T13:15:51.000,,Soufriere
"2615",02fefdfa-0096-4e44-9ae7-da67d89df75e,StLucia,54.7799987792969,30.1700000762939,5.84999990463257,8444.6396484375,Single-family residential,24.0900001525879,8.3,"1443.01",,2023-01-03T13:15:51.000,,Soufriere
"2616",0594bff1-97d8-4a9f-b189-b5a3b0c29e8c,StLucia,96.8000030517578,45.4300003051758,8.8100004196167,11456.8896484375,Single-family residential,23.5,12.29,"1300.0",,2023-01-03T13:15:51.000,,Soufriere
"2617",e781a465-3138-4f25-b903-923b21216bb2,StLucia,75.9000015258789,43.9300003051758,8.52999973297119,11852.01953125,Single-family residential,20.6900005340576,8.12,"1389.43",,2023-01-03T13:15:51.000,,Soufriere
"2618",7e79e4ce-6111-459f-bb15-9a29537ce3c8,StLucia,246.850006103516,170.300003051758,33.0400009155273,47896.71875,Single-family residential,24.1900005340576,2.7,"1449.72",,2023-01-03T13:15:51.000,,Soufriere
"2619",9d6146a2-7d71-4561-974b-0ee8ae16fd91,StLucia,92.6999969482422,55.6199989318848,10.7799997329712,15751.509765625,Single-family residential,20.3700008392334,2.88,"1461.34",,2023-01-03T13:15:51.000,,Soufriere
"2620",0381d796-8e07-4018-b177-fce59730146d,StLucia,88.620002746582,52.5800018310547,10.1999998092651,13200.0703125,Schools,9.81999969482422,3.85,"1294.0",,2023-01-03T13:15:51.000,,Soufriere
